Disease;;disease;;species;;geo gistribution string;;scoping >=1970;scoping >=1990;scoping >=2000;Notes on search sdjustments;Suggested final
Shuni virus;TITLE-ABS-KEY (;"(""Shuni virus"")";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
St. Louis encephalitis virus;TITLE-ABS-KEY (;(“Louis encephalitis”);;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Thogoto virus;TITLE-ABS-KEY (;"(""Thogoto virus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Venezuelan equineencephalitis virus;TITLE-ABS-KEY (;"(""Venezuelan equineencephalitis"" OR “Venezuelan equinefever”) ";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Vesicular stomatitis viruses;TITLE-ABS-KEY (;(“Vesicular stomatitis”);AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Proboscidea OR elephant OR Elephantidae OR Pig OR Hog OR Suis OR Suidae OR Tayassuidae OR peccary OR javelina OR Ass OR Donkey OR Equus OR Horse OR equine OR equid);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
West Nile virus;TITLE-ABS-KEY (;(“West Nile”);;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Yunnan orbivirus;TITLE-ABS-KEY (;"(""Yunnan virus"" OR ""Yunnan orbivirus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Wesselsbron virus;TITLE-ABS-KEY (;"(""Wesselsbron virus"")";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Ehrlichia ruminantium ;TITLE-ABS-KEY (;"(“Cowdria ruminantium” OR ""Ehrlichia ruminantium"") ";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Hepatozoon canis;TITLE-ABS-KEY (;(“Hepatozoon canis”);AND;(Cat OR Felis OR Dog OR Canis);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Leishmania infantum;TITLE-ABS-KEY (;(“Leishmania infantum”);AND;(Human OR Homo OR Dog OR Canis);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
